x	y	presence
8170	10	0
8130	20	0
8140	20	0
8160	20	0
8170	20	0
8140	30	0
8150	30	0
8160	30	1
8170	30	0
8180	30	0
8270	30	0
8160	40	0
8170	40	0
8180	40	0
8190	40	0
8250	40	0
8260	40	0
8270	40	0
8280	40	1
8170	50	0
8180	50	0
8190	50	0
8200	50	0
8210	50	0
8220	50	0
8230	50	1
8240	50	0
8250	50	0
8260	50	0
8270	50	0
8280	50	0
8180	60	0
8190	60	0
8200	60	1
8210	60	0
8220	60	0
8230	60	0
8240	60	1
8250	60	0
8260	60	0
8270	60	0
8280	60	0
8180	70	0
8190	70	0
8200	70	0
8210	70	1
8220	70	0
8230	70	1
8240	70	1
8250	70	0
8260	70	0
8270	70	0
8280	70	1
8290	70	1
8200	80	0
8210	80	1
8220	80	1
8230	80	1
8240	80	0
8250	80	0
8260	80	0
8270	80	0
8280	80	0
8290	80	1
8300	80	1
8350	80	1
8360	80	1
8370	80	1
8380	80	1
8390	80	0
8400	80	0
8430	80	0
8440	80	1
8450	80	1
8210	90	0
8220	90	1
8230	90	1
8240	90	1
8250	90	0
8260	90	0
8270	90	0
8280	90	1
8290	90	1
8300	90	1
8310	90	1
8320	90	1
8330	90	0
8340	90	0
8350	90	0
8360	90	1
8370	90	1
8380	90	1
8390	90	1
8400	90	1
8410	90	1
8420	90	1
8430	90	1
8440	90	1
8450	90	0
8480	90	1
8550	90	0
8220	100	1
8230	100	1
8240	100	1
8250	100	1
8260	100	0
8270	100	0
8280	100	0
8290	100	1
8300	100	0
8310	100	0
8320	100	0
8330	100	1
8340	100	1
8350	100	1
8360	100	0
8370	100	0
8380	100	1
8390	100	1
8400	100	1
8410	100	1
8420	100	1
8430	100	1
8440	100	1
8450	100	1
8460	100	1
8470	100	1
8480	100	1
8490	100	0
8500	100	0
8510	100	1
8520	100	0
8530	100	0
8540	100	1
8550	100	1
8560	100	1
8220	110	1
8230	110	1
8240	110	0
8250	110	1
8260	110	0
8270	110	0
8280	110	1
8290	110	1
8300	110	1
8310	110	0
8330	110	1
8340	110	1
8350	110	0
8360	110	0
8370	110	1
8380	110	1
8390	110	0
8400	110	1
8410	110	1
8420	110	1
8430	110	1
8440	110	1
8450	110	1
8460	110	0
8470	110	1
8480	110	0
8490	110	1
8500	110	1
8510	110	1
8520	110	1
8530	110	1
8540	110	1
8550	110	1
8560	110	1
8570	110	1
8580	110	1
8590	110	1
8600	110	0
8220	120	0
8230	120	0
8240	120	0
8250	120	0
8270	120	0
8280	120	0
8290	120	0
8300	120	1
8310	120	1
8320	120	1
8330	120	1
8340	120	1
8350	120	1
8360	120	0
8370	120	1
8380	120	1
8390	120	1
8400	120	1
8410	120	1
8420	120	0
8430	120	1
8440	120	1
8450	120	1
8460	120	0
8470	120	1
8480	120	1
8490	120	1
8500	120	1
8510	120	1
8520	120	1
8530	120	1
8540	120	1
8550	120	0
8560	120	1
